SKU;SKU Pai;Imagem 1;Imagem 2;Imagem 3;Imagem 4;Imagem 5;Imagem 6;Imagem 7;Imagem 8;Imagem 9;Imagem 10;Canal
;544603;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/ae/f2/ba/2b98f603dfa79504f579053c84.png;;;;;;;;;;
;544603;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/6a/cb/91/ddb0185b40e93569b2ab6da445.png;;;;;;;;;;
;544603;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/ae/f2/ba/2b98f603dfa79504f579053c84.png;;;;;;;;;;
544601;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/1c/23/b6/a307d2919d62c77793890319ca.png;;;;;;;;;;Ambiente Demonstrativo
;544601;;;;;;;;;;;
544599;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/71/b8/e1/f9b5be8cf42e1779b7e5e48c09.png;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/28/76/4f/948cb86d9976b81e7a2d85874d.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/5b/1c/a3/83106b88a7a1bc0ca2fc596bc8.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/58/e9/6c/7ad4eb7c0803139b296e9a8f8b.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/52/2a/8c/cbd9c14cfe07fcd0c49a955517.jpg;;;;;;Ambiente Demonstrativo
;544599;;;;;;;;;;;
;544599;;;;;;;;;;;
;544599;;;;;;;;;;;
;544599;;;;;;;;;;;
;544599;;;;;;;;;;;
;544599;;;;;;;;;;;
;544599;;;;;;;;;;;
;544599;;;;;;;;;;;
;544599;;;;;;;;;;;
;544599;;;;;;;;;;;
544598;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/14/25/40/9c00012e42ba47b3e69016de73.png;;;;;;;;;;Ambiente Demonstrativo
;544598;;;;;;;;;;;
;544598;;;;;;;;;;;
;544598;;;;;;;;;;;
;544598;;;;;;;;;;;
